Image,Format,PSNR,SSIM,Original Size (KB),Compressed Size (KB),Compression Time (s)
01000.png,JPEG,34.66281006606659,0.918813598545776,1432.6640625,84.77734375,0.01100015640258789
01001.png,JPEG,35.816103339003675,0.9074365738407021,1404.01171875,70.3056640625,0.004914760589599609
01002.png,JPEG,37.7862805365237,0.9196292119171185,1284.658203125,63.421875,0.004995584487915039
01003.png,JPEG,37.86819865572155,0.9330370625508593,1250.994140625,53.6376953125,0.004498720169067383
01004.png,JPEG,37.020641330331564,0.9218745211002553,1303.1396484375,73.51171875,0.003980398178100586
01005.png,JPEG,35.27329129410663,0.9053248072393201,1534.8935546875,81.1044921875,0.004300832748413086
01006.png,JPEG,37.48486402927155,0.9201856427047593,1329.923828125,60.794921875,0.0049190521240234375
01007.png,JPEG,35.400924162556436,0.9077520522443526,1460.494140625,78.9658203125,0.003916025161743164
01008.png,JPEG,37.22159288781854,0.9396914383906813,1389.1396484375,73.6162109375,0.005003929138183594
01009.png,JPEG,38.92524936676423,0.9515270736542857,898.0,48.65234375,0.0045244693756103516
01010.png,JPEG,39.008098895642014,0.9489351017620424,1147.05078125,60.1982421875,0.005002737045288086
01011.png,JPEG,36.06899403361824,0.9399527266968519,1319.8662109375,66.9912109375,0.0039174556732177734
01012.png,JPEG,36.42099754530315,0.9075694147669383,1425.58984375,68.3916015625,0.0030477046966552734
01013.png,JPEG,37.55045654101379,0.9351744277471968,1342.7529296875,69.2880859375,0.006064891815185547
01014.png,JPEG,39.61018764960768,0.9545036261238676,826.5419921875,49.86328125,0.004990100860595703
01015.png,JPEG,35.87487998649626,0.9109660572305799,1508.033203125,92.04296875,0.0049970149993896484
01016.png,JPEG,37.31156780103256,0.9359459864112946,1274.0234375,72.796875,0.003989219665527344
01017.png,JPEG,37.31330382352552,0.9192930241012993,1248.4296875,76.513671875,0.006000995635986328
01018.png,JPEG,37.682981716399595,0.9399808168864041,1299.6142578125,56.8583984375,0.005968570709228516
01019.png,JPEG,36.72204180982214,0.9179192270506885,1431.626953125,71.2216796875,0.004901885986328125
01020.png,JPEG,39.87775072855537,0.9567585993155063,1022.392578125,54.7001953125,0.005698442459106445
01021.png,JPEG,34.29340880064596,0.9321394040300656,1629.4501953125,139.439453125,0.005979299545288086
01022.png,JPEG,35.73887695655954,0.8994298397075987,1490.380859375,77.228515625,0.005003452301025391
01023.png,JPEG,37.60831725260019,0.9285407092343713,1291.208984375,73.4208984375,0.004007101058959961
01024.png,JPEG,36.99737574526783,0.9308398628623705,1408.7490234375,78.046875,0.003998756408691406
01025.png,JPEG,38.3558904661636,0.9269788562081863,1009.8994140625,59.6171875,0.004512310028076172
01026.png,JPEG,38.16552625236575,0.9374754645832373,1189.5771484375,56.333984375,0.006087541580200195
01027.png,JPEG,38.38350099383172,0.9390567837934519,1215.6435546875,58.0078125,0.00391387939453125
01028.png,JPEG,38.18573679436591,0.9381342041010491,1208.99609375,55.810546875,0.004979133605957031
01029.png,JPEG,37.56574332879096,0.9313997999543879,1380.74609375,69.8017578125,0.002938985824584961
01030.png,JPEG,35.15845351835241,0.9123206722107741,1536.91796875,73.6298828125,0.0039217472076416016
